"","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"402",1,3,1,1,1,1,3,1,1,2,1,3,1,1
"403",1,3,3,2,3,2,2,4,3,4,3,4,2,1
"404",1,1,1,2,1,1,1,1,2,1,2,2,1,1
"405",1,4,1,1,1,1,3,2,2,1,3,3,1,1
"406",1,4,3,2,3,4,4,4,1,4,4,5,2,5
"407",1,4,1,4,1,3,3,1,2,2,1,5,1,2
"408",4,5,4,4,4,4,3,3,4,5,4,3,5,4
"409",2,4,4,3,4,5,4,4,3,4,4,4,2,3
"410",1,1,2,1,1,1,1,4,3,3,2,3,1,1
"411",1,3,1,2,1,1,2,3,2,1,2,3,1,1
"412",1,2,1,2,1,2,1,1,1,1,1,1,1,1
"413",1,4,3,4,2,4,1,5,4,3,2,3,1,1
"414",3,3,2,2,1,3,3,5,4,4,1,4,1,1
"415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",1,3,1,3,1,1,1,4,3,1,3,3,1,2
"417",1,2,2,2,1,1,4,3,3,2,2,2,3,2
"418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",3,3,2,4,1,3,4,3,3,3,2,3,3,4
"420",3,3,1,1,1,2,3,5,3,4,1,2,1,1
"421",1,4,1,5,1,3,3,2,3,4,1,4,1,1
"422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",5,4,3,4,1,4,3,4,4,3,3,4,3,3
"424",3,3,1,3,1,2,3,4,5,1,1,4,2,1
"425",3,3,1,3,1,4,4,2,3,4,3,4,1,3
"426",3,3,1,4,1,4,3,1,3,4,1,3,3,1
"427",3,3,1,3,2,4,3,2,4,3,2,5,2,5
"428",2,3,1,3,1,3,3,3,2,3,1,4,2,1
"429",3,3,2,3,1,1,3,4,4,3,2,3,3,2
"430",4,3,3,3,2,2,4,3,4,3,2,4,2,3
"431",1,3,1,3,1,1,4,2,2,1,2,3,1,2
"432",1,5,3,2,2,2,3,4,3,2,4,4,1,3
"433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",1,3,1,3,1,2,3,2,3,2,4,2,1,2
"435",3,5,5,5,3,5,5,5,4,5,5,4,1,3
